[25, 46, 4.610518477796142, 87.95652173913044]
[5, 10, 2.321928094887362, 102.8]
[15, 33, 3.7716668466311805, 95.81818181818181]
[2, 2, 1.0, 124.5]
[3, 3, 1.584962500721156, 97.66666666666667]
[6, 6, 2.584962500721156, 70.5]
[7, 7, 2.807354922057604, 72.42857142857143]
[3, 3, 1.584962500721156, 97.66666666666667]
[3, 3, 1.584962500721156, 97.66666666666667]
[7, 7, 2.807354922057604, 56.142857142857146]
[4, 4, 2.0, 99.75]
[2, 2, 1.0, 109.5]
[8, 18, 2.836591668108979, 97.27777777777777]
[9, 24, 3.084962500721156, 89.41666666666667]
[4, 8, 2.0, 106.0]
[3, 3, 1.584962500721156, 97.66666666666667]
[3, 3, 1.584962500721156, 97.66666666666667]
[7, 7, 2.807354922057604, 56.142857142857146]
[3, 3, 1.584962500721156, 84.0]
[3, 3, 1.584962500721156, 86.0]
[3, 3, 1.584962500721156, 95.66666666666667]
[3, 3, 1.584962500721156, 97.66666666666667]
[2, 2, 1.0, 113.5]
[6, 6, 2.584962500721156, 70.5]
[7, 7, 2.807354922057604, 72.42857142857143]
[2, 2, 1.0, 109.5]
[3, 3, 1.584962500721156, 95.66666666666667]
[3, 3, 1.584962500721156, 95.66666666666667]
[1, 1, -0.0, 214.0]
[3, 3, 1.584962500721156, 97.66666666666667]
[14, 14, 3.8073549220576055, 87.92857142857143]
[6, 15, 2.3068905956085186, 96.06666666666666]
[3, 3, 1.584962500721156, 100.0]
[3, 3, 1.584962500721156, 100.0]
[7, 7, 2.807354922057604, 72.42857142857143]
[6, 6, 2.584962500721156, 70.5]
[3, 3, 1.584962500721156, 84.0]
[3, 3, 1.584962500721156, 84.0]
[2, 2, 1.0, 109.5]
[2, 2, 1.0, 109.5]
[3, 3, 1.584962500721156, 97.66666666666667]
[3, 3, 1.584962500721156, 97.66666666666667]
[3, 3, 1.584962500721156, 95.66666666666667]
[3, 3, 1.584962500721156, 95.66666666666667]
[3, 3, 1.584962500721156, 86.0]
[3, 3, 1.584962500721156, 91.33333333333333]
[7, 7, 2.807354922057604, 70.71428571428571]
[6, 6, 2.584962500721156, 70.5]
[3, 3, 1.584962500721156, 86.0]
[3, 3, 1.584962500721156, 123.33333333333333]
[4, 4, 2.0, 99.75]
[4, 4, 2.0, 99.75]
[3, 3, 1.584962500721156, 86.0]
[3, 3, 1.584962500721156, 123.33333333333333]
[3, 3, 1.584962500721156, 97.66666666666667]
[3, 3, 1.584962500721156, 97.66666666666667]
[5, 5, 2.321928094887362, 65.2]
[3, 3, 1.584962500721156, 83.33333333333333]
[5, 10, 2.321928094887362, 75.2]
[10, 19, 3.3005590923909542, 75.47368421052632]
[8, 22, 2.913977073182752, 103.0909090909091]
[4, 8, 2.0, 128.0]
