[0, 0, 0, 0]
[15, 15, 3.906890595608518, 26969.0]
[6, 6, 2.584962500721156, 423.0]
[2, 2, 1.0, 322.0]
[3, 3, 1.584962500721156, 300.0]
[2, 2, 1.0, 206.0]
[2, 2, 1.0, 322.0]
[1, 1, -0.0, 140.0]
[1, 1, -0.0, 134.0]
[2, 2, 1.0, 224.0]
[2, 2, 1.0, 322.0]
[2, 2, 1.0, 260.0]
[2, 2, 1.0, 260.0]
[2, 2, 1.0, 344.0]
[2, 2, 1.0, 344.0]
[2, 2, 1.0, 330.0]
[2, 2, 1.0, 268.0]
[2, 2, 1.0, 330.0]
[2, 2, 1.0, 268.0]
[2, 2, 1.0, 322.0]
[2, 2, 1.0, 344.0]
[1, 1, -0.0, 148.0]
[1, 1, -0.0, 138.0]
[2, 2, 1.0, 224.0]
[2, 2, 1.0, 268.0]
[2, 2, 1.0, 330.0]
[2, 2, 1.0, 260.0]
[3, 3, 1.584962500721156, 334.0]
[2, 2, 1.0, 227.0]
[4, 4, 2.0, 286.0]
[2, 2, 1.0, 227.0]
[2, 2, 1.0, 227.0]
[2, 2, 1.0, 206.0]
[2, 2, 1.0, 206.0]
[2, 2, 1.0, 268.0]
[2, 2, 1.0, 260.0]
[2, 2, 1.0, 224.0]
[2, 2, 1.0, 268.0]
[2, 2, 1.0, 344.0]
[2, 2, 1.0, 224.0]
[2, 2, 1.0, 224.0]
[7, 7, 2.807354922057604, 345.0]
[3, 3, 1.584962500721156, 330.0]
[2, 2, 1.0, 224.0]
[3, 3, 1.584962500721156, 300.0]
[3, 3, 1.584962500721156, 298.0]
[3, 3, 1.584962500721156, 250.0]
[3, 3, 1.584962500721156, 277.0]
[3, 3, 1.584962500721156, 283.0]
[4, 4, 2.0, 330.0]
[4, 4, 2.0, 397.0]
[4, 4, 2.0, 339.0]
[3, 3, 1.584962500721156, 329.0]
[3, 3, 1.584962500721156, 262.0]
[2, 2, 1.0, 400.0]
[3, 3, 1.584962500721156, 273.0]
[2, 2, 1.0, 322.0]
[2, 2, 1.0, 344.0]
[4, 4, 2.0, 275.0]
[3, 3, 1.584962500721156, 248.0]
[4, 4, 2.0, 345.0]
[2, 2, 1.0, 249.0]
[2, 2, 1.0, 227.0]
[4, 4, 2.0, 407.0]
[3, 3, 1.584962500721156, 235.0]
[3, 3, 1.584962500721156, 225.0]
[3, 3, 1.584962500721156, 242.0]
[3, 3, 1.584962500721156, 334.0]
[2, 2, 1.0, 224.0]
[2, 2, 1.0, 330.0]
[3, 3, 1.584962500721156, 293.0]
[2, 2, 1.0, 322.0]
[2, 2, 1.0, 260.0]
[2, 2, 1.0, 330.0]
[2, 2, 1.0, 268.0]
[2, 2, 1.0, 206.0]
[2, 2, 1.0, 206.0]
[2, 2, 1.0, 344.0]
[3, 3, 1.584962500721156, 300.0]
[3, 3, 1.584962500721156, 324.0]
[2, 2, 1.0, 254.0]
[2, 2, 1.0, 268.0]
[2, 2, 1.0, 330.0]
[6, 6, 2.584962500721156, 325.0]
[3, 3, 1.584962500721156, 300.0]
[3, 3, 1.584962500721156, 330.0]
[2, 2, 1.0, 308.0]
[3, 3, 1.584962500721156, 313.0]
[3, 3, 1.584962500721156, 324.0]
[2, 2, 1.0, 260.0]
[2, 2, 1.0, 268.0]
